textboxDate.text,textboxElectronicSignature.text,textboxAge.text,textboxInitials.text,sliderViewConditions.response,sliderColorScientist.response,sliderCVD.response,sliderGenderIdentification.response,mouseResponse.x,mouseResponse.y,mouseResponse.leftButton,mouseResponse.midButton,mouseResponse.rightButton,mouseResponse.time,mouseResponse.clicked_name,mouseResponseLocation,choiceColor,choiceIndex,trialsStimuli.thisRepN,trialsStimuli.thisTrialN,trialsStimuli.thisN,trialsStimuli.thisIndex,trialsStimuli.ran,File_Name,color1,color2,color3,color4,color5,color6,color7,color8,Question,participant,session,date,expName,psychopyVersion,OS,frameRate,trialsBlock.thisRepN,trialsBlock.thisTrialN,trialsBlock.thisN,trialsBlock.thisIndex,trialsBlock.ran,cond_file
,,,,,,,,0.185185185,-0.075,1,0,0,0.4218,sixthChoice,5,"0.37647, 0.41569, 0.12941",8,0,0,0,1,1,resources/test_tomato_green.png,"0.50196, 0.52941, 0.19608","0.57255, 0.58431, 0.12549","0.53942, 0.56976, 0.20711","0.6093, 0.62259, 0.12696","0.68627, 0.71373, 0.26667","0.4549, 0.49412, 0.11765","0.61961, 0.64314, 0.26667","0.37647, 0.41569, 0.12941",What is the color of the previous image?,3028,001,2022-02-17_13h49.49.228,Representative Color,2021.2.3,Win32,142.2070535,,,,,,
,,,,,,,,0.185185185,-0.075,1,0,0,0.2148,sixthChoice,5,"0.35427, 0.069613, 0.067232",7,0,1,1,0,1,resources/test_wine.png,"0.40784, 0.070588, 0.070588","0.6, 0.043137, 0.035294","0.44887, 0.066156, 0.074042","0.49412, 0.090196, 0.062745","0.53725, 0.011765, 0.0078431","0.30196, 0.066667, 0.062745","0.35427, 0.069613, 0.067232","0.41756, 0.054997, 0.039926",What is the color of the previous image?,3028,001,2022-02-17_13h49.49.228,Representative Color,2021.2.3,Win32,142.2070535,,,,,,
,,,,,,,,0.185185185,-0.075,1,0,0,0.2419,sixthChoice,5,"0.27689, 0.50341, 0.83205",3,0,2,2,2,1,resources/test_sky.png,"0.26275, 0.46667, 0.76863","0.2, 0.35686, 0.6902","0.27689, 0.50341, 0.83205","0.21961, 0.41176, 0.72157","0.2415, 0.43907, 0.74504","0.21025, 0.38424, 0.70588","0.35291, 0.58434, 0.85098","0.42745, 0.60784, 0.84314",What is the color of the previous image?,3028,001,2022-02-17_13h49.49.228,Representative Color,2021.2.3,Win32,142.2070535,,,,,,
,,,,,,,,0.185185185,-0.075,1,0,0,0.213,sixthChoice,5,"0.77439, 0.25104, 0.17647",7,0,3,3,3,1,resources/test_tomato_red.png,"0.80784, 0.27451, 0.18431","0.84314, 0.21961, 0.10196","0.86089, 0.28874, 0.19361","0.88235, 0.33333, 0.21176","0.74118, 0.22745, 0.16863","0.79608, 0.21569, 0.12941","0.77439, 0.25104, 0.17647","0.85235, 0.25555, 0.14958",What is the color of the tomato in the previous image?,3028,001,2022-02-17_13h49.49.228,Representative Color,2021.2.3,Win32,142.2070535,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3028,001,2022-02-17_13h49.49.228,Representative Color,2021.2.3,Win32,142.2070535,0,0,0,0,1,resources/training.xlsx
,,,,,,,,-0.155555556,-0.181481481,1,0,0,0.2628,seventhChoice,6,"0.61176, 0.36078, 0.23137",7,0,0,0,6,1,resources/t1Model-L.png,"0.52549, 0.2902, 0.16471","0.61569, 0.30588, 0.18039","0.57757, 0.31686, 0.1774","0.66902, 0.33001, 0.19272","0.47843, 0.25098, 0.13333","0.65882, 0.4, 0.25882","0.61176, 0.36078, 0.23137","0.41961, 0.20784, 0.094118",What is the color of the previous image?,3028,001,2022-02-17_13h49.49.228,Representative Color,2021.2.3,Win32,142.2070535,,,,,,
,,,,,,,,-0.066666667,-0.189814815,1,0,0,0.2055,seventhChoice,6,"0.50889, 0.63012, 0.83447",7,0,1,1,18,1,resources/t1sky.png,"0.38039, 0.50588, 0.72941","0.60278, 0.71367, 0.87522","0.41001, 0.54883, 0.79353","0.54118, 0.65098, 0.81961","0.48627, 0.6, 0.78824","0.39516, 0.52728, 0.76134","0.50889, 0.63012, 0.83447","0.4494, 0.57426, 0.79097",What is the color of the previous image?,3028,001,2022-02-17_13h49.49.228,Representative Color,2021.2.3,Win32,142.2070535,,,,,,
,,,,,,,,-0.066666667,-0.189814815,1,0,0,0.1101,seventhChoice,6,"0.6843, 0.46832, 0.35448",5,0,2,2,8,1,resources/t1Model-M.png,"0.72549, 0.51373, 0.4","0.65098, 0.35294, 0.25098","0.78605, 0.55541, 0.43138","0.68985, 0.4335, 0.3243","0.6843, 0.46832, 0.35448","0.71971, 0.45365, 0.33937","0.73744, 0.47932, 0.37149","0.71412, 0.48874, 0.36979",What is the color of the previous image?,3028,001,2022-02-17_13h49.49.228,Representative Color,2021.2.3,Win32,142.2070535,,,,,,
,,,,,,,,-0.066666667,-0.189814815,1,0,0,0.2437,seventhChoice,6,"0.28046, 0.35484, 0.15506",8,0,3,3,19,1,resources/t1zgrass.png,"0.30588, 0.41569, 0.18824","0.36341, 0.42546, 0.21823","0.33318, 0.45547, 0.20282","0.32157, 0.38039, 0.19216","0.27231, 0.37211, 0.15269","0.31422, 0.39807, 0.19031","0.34895, 0.44055, 0.21071","0.28046, 0.35484, 0.15506",What is the color of the previous image?,3028,001,2022-02-17_13h49.49.228,Representative Color,2021.2.3,Win32,142.2070535,,,,,,
,,,,,,,,-0.066666667,-0.189814815,1,0,0,10.7074,seventhChoice,6,"0.66275, 0.4, 0.21961",2,0,4,4,13,1,resources/t1Model-ll.png,"0.59608, 0.36863, 0.23137","0.66275, 0.4, 0.21961","0.71741, 0.4315, 0.23453","0.65882, 0.43137, 0.29412","0.62936, 0.38426, 0.22577","0.54887, 0.3251, 0.1898","0.68099, 0.43522, 0.27061","0.58137, 0.34036, 0.18379",What is the color of the previous image?,3028,001,2022-02-17_13h49.49.228,Representative Color,2021.2.3,Win32,142.2070535,,,,,,
